,CODI EOI,NOM ESTACIO,DATA,MAGNITUD,CONTAMINANT,UNITATS,TIPUS ESTACIO,AREA URBANA,CODI INE,MUNICIPI,CODI COMARCA,NOM COMARCA,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,ALTITUD,LATITUD,LONGITUD,Georeferència 
19673,43103001,Perafort (Puigdelfí),02/02/2023,12,NOX,µg/m3,industrial,rural,43103,Perafort,36,Tarragonès,11.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,,,,25.0,33.0,10.0,10.0,8.0,9.0,10.0,11.0,10.0,11.0,14.0,11.0,10.0,97,41.193604,1.2367008,POINT (1.2367008 41.193604)
122,8169009,El Prat de Llobregat (Sagnier),27/03/2023,30,C6H6,µg/m3,background,suburban,8169,"Prat de Llobregat, el",11,Baix Llobregat,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,7,41.321774,2.0821,
10703,8301004,Viladecans - Atrium,27/02/2023,12,NOX,µg/m3,background,suburban,8301,Viladecans,11,Baix Llobregat,12.0,12.0,12.0,12.0,16.0,19.0,34.0,24.0,52.0,38.0,22.0,19.0,18.0,35.0,39.0,27.0,31.0,32.0,39.0,31.0,23.0,17.0,16.0,13.0,14,41.31335,2.0136087,POINT (2.0136087 41.31335)
12529,25119002,Juneda (Pla del Molí),22/02/2023,12,NOX,µg/m3,background,rural,25119,Juneda,18,Garrigues,15.0,12.0,18.0,19.0,14.0,13.0,12.0,14.0,17.0,22.0,25.0,15.0,11.0,9.0,7.0,6.0,7.0,9.0,17.0,23.0,19.0,18.0,17.0,12.0,255,41.544083,0.8299007,POINT (0.8299007 41.544083)
8392,17079003,Girona (Escola de Música),05/03/2023,8,NO2,µg/m3,traffic,urban,17079,Girona,20,Gironès,20.0,17.0,19.0,25.0,20.0,20.0,25.0,22.0,25.0,30.0,31.0,19.0,12.0,12.0,11.0,15.0,16.0,20.0,27.0,56.0,60.0,48.0,54.0,49.0,73,41.97638,2.8165,POINT (2.8165 41.97638)
16474,43162002,Vandellòs (Viver),11/02/2023,12,NOX,µg/m3,industrial,rural,43162,Vandellòs i l'Hospitalet de l',8,Baix Camp,14.0,11.0,10.0,15.0,15.0,19.0,19.0,34.0,34.0,29.0,16.0,11.0,10.0,9.0,8.0,7.0,7.0,9.0,21.0,35.0,26.0,19.0,18.0,16.0,60,41.009453,0.91277903,POINT (0.91277903 41.009453)
1019,8102005,Igualada,25/03/2023,6,CO,mg/m3,industrial,suburban,8102,Igualada,6,Anoia,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,311,41.5784,1.6230061,
20563,43047001,Constantí,31/01/2023,1,SO2,µg/m3,industrial,suburban,43047,Constantí,36,Tarragonès,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,11.0,19.0,38.0,29.0,48.0,31.0,17.0,7.0,4.0,4.0,4.0,3.0,3.0,3.0,56,41.15493,1.2177014,POINT (1.2177014 41.15493)
18737,8263007,Sant Vicenç dels Horts,05/02/2023,1,SO2,µg/m3,industrial,suburban,8263,Sant Vicenç dels Horts,11,Baix Llobregat,24.0,18.0,17.0,20.0,15.0,12.0,5.0,11.0,19.0,14.0,15.0,12.0,13.0,6.0,14.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,65,41.400845,1.9997202,POINT (1.9997202 41.400845)
11749,8019057,Barcelona (Palau Reial),24/02/2023,1,SO2,µg/m3,background,urban,8019,Barcelona,13,Barcelonès,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,81,41.38749,2.1151996,POINT (2.1151996 41.38749)
3026,43004005,Alcanar,20/03/2023,12,NOX,µg/m3,industrial,rural,43004,Alcanar,22,Montsià,4.0,4.0,4.0,4.0,4.0,6.0,10.0,15.0,13.0,9.0,8.0,5.0,5.0,7.0,8.0,15.0,6.0,5.0,6.0,6.0,12.0,12.0,13.0,8.0,7,40.552807,0.53000027,
17662,8019054,Barcelona (Parc Vall Hebron),08/02/2023,6,CO,mg/m3,background,urban,8019,Barcelona,13,Barcelonès,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,136,41.42611,2.1480017,POINT (2.1480017 41.42611)
4125,8019043,Barcelona (Eixample),17/03/2023,8,NO2,µg/m3,traffic,urban,8019,Barcelona,13,Barcelonès,18.0,21.0,25.0,17.0,19.0,23.0,31.0,54.0,61.0,37.0,28.0,30.0,17.0,17.0,18.0,25.0,34.0,34.0,25.0,32.0,25.0,27.0,28.0,25.0,26,41.385315,2.1537998,
15673,43064001,Gandesa,13/02/2023,9,PM2.5,µg/m3,background,rural,43064,Gandesa,37,Terra Alta,15.0,16.0,18.0,17.0,16.0,14.0,15.0,9.0,9.0,16.0,17.0,20.0,19.0,19.0,22.0,22.0,21.0,20.0,19.0,19.0,20.0,22.0,20.0,21.0,368,41.058212,0.43969983,POINT (0.43969983 41.058212)
4540,8019044,Barcelona (Gràcia - Sant Gervasi),15/03/2023,6,CO,mg/m3,traffic,urban,8019,Barcelona,13,Barcelonès,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.3,,,0.4,0.4,0.3,0.2,0.3,0.4,0.5,0.3,0.2,0.2,57,41.398724,2.1533988,
6694,8121013,Mataró,10/03/2023,8,NO2,µg/m3,background,urban,8121,Mataró,21,Maresme,5.0,4.0,5.0,8.0,4.0,5.0,17.0,16.0,17.0,15.0,11.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,13.0,27.0,40.0,50.0,52.0,48.0,40,41.547176,2.4432983,POINT (2.4432983 41.547176)
14167,25209001,Sort,17/02/2023,14,O3,µg/m3,background,rural,25209,Sort,26,Pallars Sobirà,28.0,27.0,28.0,24.0,26.0,24.0,23.0,9.0,7.0,18.0,53.0,70.0,75.0,82.0,87.0,88.0,88.0,64.0,48.0,50.0,28.0,12.0,10.0,12.0,692,42.405407,1.1299014,POINT (1.1299014 42.405407)
3345,8202001,Sant Celoni,19/03/2023,1,SO2,µg/m3,background,suburban,8202,Sant Celoni,41,Vallès Oriental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,145,41.6891,2.495701,
7005,25119002,Juneda (Pla del Molí),09/03/2023,14,O3,µg/m3,background,rural,25119,Juneda,18,Garrigues,41.0,32.0,33.0,31.0,26.0,23.0,21.0,16.0,10.0,32.0,36.0,43.0,63.0,67.0,69.0,72.0,72.0,70.0,66.0,70.0,66.0,62.0,61.0,62.0,255,41.544083,0.8299007,POINT (0.8299007 41.544083)
6821,8019043,Barcelona (Eixample),09/03/2023,7,NO,µg/m3,traffic,urban,8019,Barcelona,13,Barcelonès,32.0,10.0,5.0,5.0,7.0,34.0,35.0,44.0,68.0,92.0,36.0,33.0,27.0,10.0,9.0,6.0,8.0,6.0,4.0,3.0,2.0,2.0,3.0,4.0,26,41.385315,2.1537998,POINT (2.1537998 41.385315)
23498,8137001,Montseny (La Castanya),23/01/2023,12,NOX,µg/m3,background,rural,8137,Montseny,41,Vallès Oriental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,4.0,6.0,7.0,10.0,11.0,13.0,15.0,13.0,9.0,7.0,693,41.77928,2.358002,POINT (2.358002 41.77928)
21150,8074005,Cubelles (Poliesportiu),29/01/2023,12,NOX,µg/m3,background,suburban,8074,Cubelles,17,Garraf,6.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,7.0,11.0,8.0,7.0,4.0,5.0,5.0,5.0,7.0,26.0,27.0,22.0,24.0,26.0,11.0,5,41.202198,1.6722002,POINT (1.6722002 41.202198)
4902,8074005,Cubelles (Poliesportiu),14/03/2023,8,NO2,µg/m3,background,suburban,8074,Cubelles,17,Garraf,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,7.0,8.0,5,41.202198,1.6722002,
5119,8307012,Vilanova i la Geltrú,14/03/2023,12,NOX,µg/m3,traffic,suburban,8307,Vilanova i la Geltrú,17,Garraf,2.0,2.0,2.0,2.0,2.0,3.0,4.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,9.0,16.0,16.0,12,41.218987,1.7211995,
7561,43171002,Vila-seca (IES Vila-seca),07/03/2023,65,H2S,µg/m3,background,suburban,43171,Vila-seca,36,Tarragonès,1.2,1.3,1.4,1.3,1.4,1.4,1.6,1.7,1.7,1.8,1.6,1.3,1.1,1.2,1.2,1.1,1.1,1.2,1.2,1.4,1.3,1.2,1.2,1.3,33,41.102505,1.1494449,POINT (1.1494449 41.102505)
2884,8169008,El Prat de Llobregat (Jardins de la Pau),20/03/2023,8,NO2,µg/m3,background,suburban,8169,"Prat de Llobregat, el",11,Baix Llobregat,35.0,31.0,27.0,33.0,33.0,33.0,41.0,43.0,39.0,34.0,23.0,23.0,11.0,9.0,7.0,6.0,8.0,11.0,12.0,16.0,17.0,14.0,16.0,20.0,5,41.321487,2.0977015,
15592,43148003,Tarragona (Bonavista),13/02/2023,1,SO2,µg/m3,industrial,suburban,43148,Tarragona,36,Tarragonès,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,39,41.11591,1.1919986,POINT (1.1919986 41.11591)
12519,8019058,Barcelona (Observatori Fabra),22/02/2023,8,NO2,µg/m3,background,suburban,8019,Barcelona,13,Barcelonès,23.0,15.0,13.0,14.0,11.0,12.0,14.0,22.0,6.0,6.0,12.0,21.0,20.0,15.0,12.0,15.0,16.0,22.0,23.0,19.0,25.0,30.0,17.0,10.0,415,41.41843,2.1238973,POINT (2.1238973 41.41843)
24449,8205002,Sant Cugat del Vallès,20/01/2023,12,NOX,µg/m3,background,urban,8205,Sant Cugat del Vallès,40,Vallès Occidental,3.0,4.0,3.0,8.0,9.0,22.0,41.0,79.0,134.0,136.0,108.0,70.0,37.0,23.0,21.0,16.0,14.0,30.0,69.0,102.0,64.0,67.0,84.0,55.0,113,41.476814,2.0889983,POINT (2.0889983 41.476814)
14140,8019044,Barcelona (Gràcia - Sant Gervasi),17/02/2023,1,SO2,µg/m3,traffic,urban,8019,Barcelona,13,Barcelonès,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,,,3.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,57,41.398724,2.1533988,POINT (2.1533988 41.398724)
7913,8125002,Montcada i Reixac,06/03/2023,12,NOX,µg/m3,traffic,suburban,8125,Montcada i Reixac,40,Vallès Occidental,89.0,73.0,53.0,62.0,64.0,90.0,139.0,265.0,276.0,343.0,213.0,119.0,41.0,36.0,38.0,30.0,42.0,53.0,77.0,80.0,103.0,106.0,93.0,86.0,34,41.48197,2.1882975,POINT (2.1882975 41.48197)
20183,8101001,L'Hospitalet de Llobregat,01/02/2023,7,NO,µg/m3,background,urban,8101,"Hospitalet de Llobregat, l'",13,Barcelonès,6.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,6.0,8.0,7.0,7.0,4.0,5.0,,,4.0,4.0,4.0,9.0,53.0,10.0,3.0,8.0,29,41.370476,2.1149993,POINT (2.1149993 41.370476)
9296,8260010,Santa Perpètua de Mogoda,03/03/2023,7,NO,µg/m3,traffic,suburban,8260,Santa Perpètua de Mogoda,40,Vallès Occidental,15.0,10.0,15.0,11.0,9.0,27.0,58.0,133.0,179.0,143.0,72.0,21.0,8.0,7.0,14.0,11.0,9.0,5.0,6.0,6.0,24.0,29.0,13.0,33.0,84,41.526722,2.1838,POINT (2.1838 41.526722)
6759,8089005,Gavà,09/03/2023,6,CO,mg/m3,background,suburban,8089,Gavà,11,Baix Llobregat,0.4,0.4,0.3,0.3,0.3,0.3,,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,25,41.303097,1.9914981,POINT (1.9914981 41.303097)
24048,25051001,Bellver de Cerdanya,21/01/2023,12,NOX,µg/m3,background,rural,25051,Bellver de Cerdanya,15,Cerdanya,20.0,24.0,21.0,18.0,15.0,14.0,15.0,21.0,25.0,33.0,22.0,9.0,5.0,3.0,3.0,5.0,5.0,6.0,9.0,7.0,8.0,9.0,3.0,3.0,1060,42.368282,1.7767994,POINT (1.7767994 42.368282)
7030,8019050,Barcelona (Ciutadella),09/03/2023,7,NO,µg/m3,background,urban,8019,Barcelona,13,Barcelonès,16.0,11.0,9.0,4.0,1.0,3.0,1.0,3.0,8.0,11.0,16.0,37.0,14.0,7.0,5.0,8.0,6.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,7,41.386406,2.1873982,POINT (2.1873982 41.386406)
18909,8157003,Pallejà (Roca de Vilana),04/02/2023,1,SO2,µg/m3,industrial,suburban,8157,Pallejà,11,Baix Llobregat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82,41.41528,1.9905012,POINT (1.9905012 41.41528)
19443,25119002,Juneda (Pla del Molí),03/02/2023,14,O3,µg/m3,background,rural,25119,Juneda,18,Garrigues,16.0,17.0,17.0,16.0,15.0,15.0,8.0,5.0,,,,,,,,,,,,,,,,,255,41.544083,0.8299007,POINT (0.8299007 41.544083)
25275,43014001,Amposta,18/01/2023,14,O3,µg/m3,background,suburban,43014,Amposta,22,Montsià,88.0,91.0,90.0,92.0,92.0,92.0,80.0,79.0,69.0,77.0,83.0,81.0,80.0,80.0,82.0,83.0,83.0,80.0,73.0,71.0,79.0,81.0,84.0,88.0,8,40.706703,0.5817011,POINT (0.5817011 40.706703)
3419,8137001,Montseny (La Castanya),18/03/2023,1,SO2,µg/m3,background,rural,8137,Montseny,41,Vallès Oriental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,693,41.77928,2.358002,
8068,43148022,Tarragona (Universitat Laboral),06/03/2023,8,NO2,µg/m3,industrial,suburban,43148,Tarragona,36,Tarragonès,22.0,17.0,12.0,12.0,17.0,21.0,37.0,56.0,43.0,53.0,30.0,23.0,21.0,15.0,13.0,22.0,20.0,21.0,45.0,59.0,77.0,67.0,37.0,29.0,5,41.103706,1.2007992,POINT (1.2007992 41.103706)
3761,25120001,Lleida,18/03/2023,14,O3,µg/m3,traffic,urban,25120,Lleida,33,Segrià,50.0,51.0,53.0,44.0,37.0,44.0,43.0,35.0,42.0,44.0,53.0,76.0,78.0,77.0,80.0,82.0,80.0,83.0,81.0,64.0,14.0,29.0,38.0,45.0,220,41.615818,0.6157005,
4058,8112003,Manlleu,17/03/2023,7,NO,µg/m3,background,suburban,8112,Manlleu,24,Osona,1.0,1.0,1.0,1.0,1.0,4.0,7.0,16.0,22.0,19.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,460,42.003307,2.2872992,
4402,8124009,Mollet del Vallès,16/03/2023,10,PM10,µg/m3,traffic,suburban,8124,Mollet del Vallès,41,Vallès Oriental,27.0,26.0,24.0,19.0,21.0,23.0,26.0,44.0,40.0,46.0,47.0,33.0,34.0,19.0,16.0,15.0,15.0,12.0,17.0,31.0,44.0,22.0,28.0,24.0,90,41.549183,2.2120984,
24145,8279011,Terrassa,21/01/2023,7,NO,µg/m3,traffic,urban,8279,Terrassa,40,Vallès Occidental,3.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,16.0,10.0,10.0,9.0,6.0,5.0,4.0,3.0,4.0,5.0,4.0,12.0,9.0,8.0,5.0,6.0,109,41.556114,2.0073977,POINT (2.0073977 41.556114)
9284,43148028,Tarragona (Parc de la Ciutat),03/03/2023,6,CO,mg/m3,background,urban,43148,Tarragona,36,Tarragonès,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,13,41.1174,1.2417027,POINT (1.2417027 41.1174)
5824,43148001,Tarragona (Sant Salvador),12/03/2023,1,SO2,µg/m3,traffic,suburban,43148,Tarragona,36,Tarragonès,3.0,2.0,2.0,2.0,2.0,2.0,31.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,77,41.15951,1.2396973,POINT (1.2396973 41.15951)
15397,8124009,Mollet del Vallès,14/02/2023,10,PM10,µg/m3,traffic,suburban,8124,Mollet del Vallès,41,Vallès Oriental,53.0,51.0,48.0,49.0,48.0,50.0,53.0,54.0,54.0,,,,47.0,38.0,36.0,26.0,23.0,27.0,28.0,35.0,37.0,60.0,66.0,62.0,90,41.549183,2.2120984,POINT (2.2120984 41.549183)
1957,43064001,Gandesa,22/03/2023,9,PM2.5,µg/m3,background,rural,43064,Gandesa,37,Terra Alta,20.0,22.0,22.0,21.0,20.0,17.0,18.0,16.0,17.0,21.0,25.0,41.0,21.0,,10.0,9.0,14.0,18.0,18.0,17.0,15.0,13.0,13.0,13.0,368,41.058212,0.43969983,
17692,8102005,Igualada,08/02/2023,6,CO,mg/m3,industrial,suburban,8102,Igualada,6,Anoia,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,311,41.5784,1.6230061,POINT (1.6230061 41.5784)
17363,43171002,Vila-seca (IES Vila-seca),09/02/2023,14,O3,µg/m3,background,suburban,43171,Vila-seca,36,Tarragonès,66.0,68.0,68.0,72.0,70.0,70.0,62.0,45.0,37.0,49.0,73.0,72.0,72.0,77.0,81.0,82.0,77.0,67.0,37.0,12.0,4.0,8.0,10.0,28.0,33,41.102505,1.1494449,POINT (1.1494449 41.102505)
12273,8283004,Tona (Zona Esportiva),22/02/2023,7,NO,µg/m3,background,rural,8283,Tona,24,Osona,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,9.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,620,41.84666,2.2175014,POINT (2.2175014 41.84666)
417,8113007,Manresa,26/03/2023,14,O3,µg/m3,traffic,urban,8113,Manresa,7,Bages,46.0,,44.0,38.0,36.0,31.0,28.0,22.0,17.0,22.0,30.0,65.0,71.0,72.0,78.0,88.0,95.0,99.0,97.0,93.0,92.0,92.0,93.0,91.0,238,41.730293,1.8253003,
14814,8137001,Montseny (La Castanya),15/02/2023,6,CO,mg/m3,background,rural,8137,Montseny,41,Vallès Oriental,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,693,41.77928,2.358002,POINT (2.358002 41.77928)
503,8019054,Barcelona (Parc Vall Hebron),26/03/2023,14,O3,µg/m3,background,urban,8019,Barcelona,13,Barcelonès,51.0,,45.0,32.0,37.0,52.0,85.0,85.0,84.0,80.0,74.0,71.0,72.0,77.0,79.0,87.0,95.0,103.0,93.0,90.0,86.0,82.0,95.0,93.0,136,41.42611,2.1480017,
5713,8102005,Igualada,12/03/2023,12,NOX,µg/m3,industrial,suburban,8102,Igualada,6,Anoia,11.0,10.0,10.0,8.0,8.0,8.0,19.0,15.0,12.0,10.0,11.0,11.0,10.0,8.0,9.0,9.0,8.0,10.0,10.0,15.0,15.0,17.0,19.0,19.0,311,41.5784,1.6230061,POINT (1.6230061 41.5784)
17992,8015021,Badalona,07/02/2023,12,NOX,µg/m3,background,urban,8015,Badalona,13,Barcelonès,9.0,12.0,9.0,9.0,9.0,15.0,18.0,34.0,38.0,38.0,30.0,24.0,31.0,29.0,20.0,15.0,18.0,22.0,17.0,15.0,21.0,19.0,13.0,8.0,7,41.443985,2.2378986,POINT (2.2378986 41.443985)
14682,8112003,Manlleu,16/02/2023,12,NOX,µg/m3,background,suburban,8112,Manlleu,24,Osona,85.0,82.0,79.0,77.0,72.0,81.0,102.0,112.0,82.0,84.0,91.0,83.0,55.0,28.0,23.0,21.0,21.0,28.0,44.0,65.0,127.0,137.0,98.0,105.0,460,42.003307,2.2872992,POINT (2.2872992 42.003307)
8504,8019054,Barcelona (Parc Vall Hebron),05/03/2023,8,NO2,µg/m3,background,urban,8019,Barcelona,13,Barcelonès,59.0,58.0,31.0,29.0,30.0,29.0,31.0,38.0,34.0,32.0,26.0,20.0,13.0,11.0,11.0,10.0,9.0,10.0,16.0,15.0,19.0,23.0,37.0,35.0,136,41.42611,2.1480017,POINT (2.1480017 41.42611)
8400,8187012,Sabadell,05/03/2023,10,PM10,µg/m3,traffic,urban,8187,Sabadell,40,Vallès Occidental,18.0,18.0,16.0,13.0,15.0,15.0,16.0,16.0,23.0,25.0,19.0,16.0,15.0,19.0,15.0,18.0,18.0,18.0,18.0,18.0,24.0,32.0,22.0,18.0,210,41.561214,2.1011107,POINT (2.1011107 41.561214)
22633,43148001,Tarragona (Sant Salvador),25/01/2023,12,NOX,µg/m3,traffic,suburban,43148,Tarragona,36,Tarragonès,8.0,7.0,7.0,7.0,8.0,11.0,15.0,22.0,23.0,22.0,17.0,15.0,14.0,16.0,15.0,23.0,20.0,27.0,46.0,67.0,58.0,38.0,26.0,32.0,77,41.15951,1.2396973,POINT (1.2396973 41.15951)
3465,8121013,Mataró,18/03/2023,8,NO2,µg/m3,background,urban,8121,Mataró,21,Maresme,6.0,7.0,2.0,4.0,3.0,6.0,7.0,10.0,9.0,4.0,2.0,4.0,8.0,6.0,4.0,5.0,6.0,5.0,4.0,10.0,11.0,9.0,6.0,17.0,40,41.547176,2.4432983,
12048,8019057,Barcelona (Palau Reial),23/02/2023,9,PM2.5,µg/m3,background,urban,8019,Barcelona,13,Barcelonès,13.0,15.0,18.0,17.0,15.0,16.0,20.0,22.0,27.0,25.0,21.0,22.0,20.0,18.0,17.0,12.0,11.0,10.0,11.0,12.0,13.0,16.0,17.0,19.0,81,41.38749,2.1151996,POINT (2.1151996 41.38749)
20264,8279011,Terrassa,01/02/2023,12,NOX,µg/m3,traffic,urban,8279,Terrassa,40,Vallès Occidental,59.0,16.0,16.0,22.0,52.0,39.0,72.0,108.0,84.0,104.0,43.0,29.0,26.0,33.0,29.0,37.0,46.0,88.0,144.0,126.0,103.0,69.0,35.0,21.0,109,41.556114,2.0073977,POINT (2.0073977 41.556114)
25252,8202001,Sant Celoni,18/01/2023,10,PM10,µg/m3,background,suburban,8202,Sant Celoni,41,Vallès Oriental,5.0,5.0,4.0,5.0,2.0,4.0,9.0,26.0,31.0,48.0,53.0,30.0,36.0,12.0,15.0,27.0,26.0,32.0,35.0,31.0,21.0,17.0,14.0,10.0,145,41.6891,2.495701,POINT (2.495701 41.6891)
13963,25172001,Ponts,18/02/2023,14,O3,µg/m3,background,rural,25172,Ponts,23,Noguera,7.0,11.0,10.0,10.0,8.0,8.0,7.0,6.0,5.0,10.0,21.0,39.0,70.0,77.0,84.0,85.0,84.0,84.0,82.0,58.0,34.0,23.0,20.0,16.0,370,41.906708,1.1930013,POINT (1.1930013 41.906708)
11547,8121013,Mataró,24/02/2023,12,NOX,µg/m3,background,urban,8121,Mataró,21,Maresme,5.0,2.0,3.0,2.0,2.0,4.0,12.0,22.0,28.0,27.0,25.0,24.0,25.0,17.0,15.0,18.0,22.0,31.0,42.0,39.0,35.0,24.0,22.0,24.0,40,41.547176,2.4432983,POINT (2.4432983 41.547176)
18873,8121013,Mataró,04/02/2023,14,O3,µg/m3,background,urban,8121,Mataró,21,Maresme,43.0,58.0,39.0,26.0,34.0,37.0,51.0,61.0,60.0,61.0,58.0,66.0,70.0,74.0,65.0,73.0,55.0,32.0,27.0,48.0,53.0,19.0,15.0,36.0,40,41.547176,2.4432983,POINT (2.4432983 41.547176)
1149,8252006,Barberà del Vallès,24/03/2023,12,NOX,µg/m3,background,urban,8252,Barberà del Vallès,40,Vallès Occidental,76.0,55.0,54.0,44.0,47.0,44.0,63.0,60.0,69.0,42.0,26.0,14.0,13.0,8.0,9.0,17.0,14.0,31.0,24.0,22.0,28.0,26.0,33.0,45.0,131,41.512684,2.1253984,
23054,43047001,Constantí,24/01/2023,1,SO2,µg/m3,industrial,suburban,43047,Constantí,36,Tarragonès,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,7.0,7.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,56,41.15493,1.2177014,POINT (1.2177014 41.15493)
25238,43047001,Constantí,18/01/2023,30,C6H6,µg/m3,industrial,suburban,43047,Constantí,36,Tarragonès,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,56,41.15493,1.2177014,POINT (1.2177014 41.15493)
3323,8252006,Barberà del Vallès,19/03/2023,7,NO,µg/m3,background,urban,8252,Barberà del Vallès,40,Vallès Occidental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,131,41.512684,2.1253984,
21956,25209001,Sort,27/01/2023,10,PM10,µg/m3,background,rural,25209,Sort,26,Pallars Sobirà,6.0,5.0,6.0,7.0,5.0,4.0,3.0,12.0,22.0,30.0,15.0,7.0,6.0,7.0,12.0,14.0,11.0,11.0,6.0,6.0,6.0,5.0,5.0,5.0,692,42.405407,1.1299014,POINT (1.1299014 42.405407)
2821,8263007,Sant Vicenç dels Horts,20/03/2023,8,NO2,µg/m3,industrial,suburban,8263,Sant Vicenç dels Horts,11,Baix Llobregat,6.0,6.0,8.0,26.0,28.0,30.0,36.0,32.0,29.0,37.0,20.0,30.0,14.0,8.0,6.0,6.0,8.0,10.0,12.0,23.0,29.0,36.0,18.0,23.0,65,41.400845,1.9997202,
19794,8187012,Sabadell,02/02/2023,12,NOX,µg/m3,traffic,urban,8187,Sabadell,40,Vallès Occidental,38.0,36.0,34.0,24.0,60.0,84.0,78.0,83.0,129.0,102.0,127.0,78.0,88.0,70.0,57.0,68.0,80.0,79.0,110.0,69.0,82.0,79.0,47.0,44.0,210,41.561214,2.1011107,POINT (2.1011107 41.561214)
8479,43162002,Vandellòs (Viver),05/03/2023,1,SO2,µg/m3,industrial,rural,43162,Vandellòs i l'Hospitalet de l',8,Baix Camp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,60,41.009453,0.91277903,POINT (0.91277903 41.009453)
